,INTERACTOR_A,INTERACTOR_B
0,FGF7,HSPG2
1,ANK1,OBSCN
2,FASN,FASN
3,PPL,KAZN
4,PDZD2,CTNND2
5,ADAMTSL4,DLK2
6,EWSR1,FASN
7,ADAMTSL4,NTN4
8,ADAMTSL4,CATSPER1
9,ADAMTSL4,KRTAP4-12
10,SPRY2,ADAMTSL4
11,SORBS3,ADAMTSL4
12,FHL3,ADAMTSL4
13,GLRX3,ADAMTSL4
14,STK16,ADAMTSL4
15,PLSCR1,ADAMTSL4
16,DNPEP,ADAMTSL4
17,NTHL1,MYH4
18,KAZN,PPL
19,PPL,KAZN
20,EZR,PPL
21,PPL,PPHLN1
22,MTMR2,SBF1
23,MTMR2,SBF1
24,SBF1,MTMR2
25,OBSCN,ANK1
26,SBF1,SUV39H1
27,SUV39H1,SBF1
28,SUV39H1,SBF1
29,LRP5,AXIN1
30,AXIN1,LRP5
31,GC,CUBN
32,TTR,HSPG2
33,HSPG2,TTR
34,PRELP,HSPG2
35,PDZD2,CTNND2
36,PKP4,PDZD2
37,PDZD2,PKP4
38,PPL,EVPL
39,FN1,TNC
40,FN1,TNC
41,IFT172,LHX3
42,LHX3,IFT172
43,LHX3,IFT172
44,IFT172,LHX4
45,TNC,NCAN
46,CUBN,GIF
47,FGFBP1,HSPG2
48,FGFBP1,HSPG2
49,PDZD2,PKP4
50,PDZD2,ERBB2IP
51,SCGB1A1,CUBN
52,MBL2,MASP1
53,MASP1,MASP2
54,HSPG2,NID2
55,HSPG2,FN1
56,HSPG2,FBLN2
57,TTN,OBSCN
58,TTN,OBSCN
59,EVPL,PPL
60,PPL,EVPL
61,LYST,YWHAQ
62,LYST,CSNK2B
63,LYST,TNNI3
64,LYST,HGS
65,LYST,YWHAB
66,LYST,ESRRA
67,LYST,KPNB1
68,LYST,MRPS31
69,LYST,DGCR14
70,LYST,NCDN
71,LYST,PCBP4
72,LYST,VTA1
73,LYST,DNAJC14
74,LYST,CNTROB
75,LYST,ATN1
76,LYST,EFS
77,LYST,MED12
78,LYST,HNRNPM
79,LYST,CENPJ
80,LYST,MRPL17
81,LYST,ZNF521
82,LYST,CELF4
83,LYST,YWHAZ
84,LYST,CSNK2B
85,LYST,HGS
86,LAMA1,HSPG2
87,SERPING1,MASP1
88,MASP1,FCN2
89,HSPG2,FBLN2
90,HSPG2,PDGFA
91,HSPG2,PDGFB
92,FGF7,HSPG2
93,FGF7,HSPG2
94,COL17A1,PPL
95,AXIN1,LRP5
96,PPL,KRT8
97,PPL,VIM
98,PPL,KRT8
99,RRP1B,CUBN
100,Rrp1b,CUBN
101,USP15,MYH4
102,PMS1,SBF1
103,ATG101,MYH4
104,APC,NAV1
105,FASN,USP2
106,USP2,FASN
107,USP2,FASN
108,CNBP,MYH4
109,KMT2A,SBF1
110,SET1,SBF1
111,E(z),SBF1
112,RYK,FAT4
113,Mapk13,FASN
114,CACNA1A,HSPG2
115,HDAC5,FASN
116,AI837181,FASN
117,Cdk1,PPL
118,SIRT3,SBF1
119,AKT1,PPL
120,MAPK8IP2,MASP1
121,NUDT21,MASP1
122,GSK3B,MASP1
123,UFD1L,MASP1
124,RPS6KA3,MASP1
125,NCK2,MASP1
126,H2AFX,MASP1
127,TNFSF11,SBF1
128,PDPK1,SBF1
129,MAPK6,MASP1
130,RPS6KA6,MASP1
131,GADD45A,MASP1
132,PCK1,FASN
133,RAD21,FASN
134,RAD21,PDZD2
135,NDRG1,FASN
136,MAPK3,FASN
137,NRXN1,PDZD2
138,USP2,FASN
139,ITSN1,PPL
140,ELAVL1,NAV1
141,ARRB1,FASN
142,ARRB1,DNAH3
143,ARRB2,FASN
144,SIRT7,FASN
145,SIRT7,SBF1
146,MASP1,PDCD6IP
147,TSG101,FASN
148,ISG15,FASN
149,CUL3,MASP1
150,CUL3,FASN
151,CDK2,FASN
152,CUL1,PPL
153,DCUN1D1,FASN
154,CUBN,CUBN
155,OBSCN,ANK1
156,KCTD6,OBSCN
157,ATN1,HSPG2
158,ATXN1,FAT4
159,GFI1B,HSPG2
160,USP7,PPL
161,CBL,CUBN
162,GRB2,HSPG2
163,SHC1,FASN
164,AP2M1,FASN
165,PCK2,APP
166,NAV1,APP
167,DDX1,HMCN1
168,EMD,FASN
169,CUBN,LRP1
170,CUBN,PID1
171,BRCA1,CUBN
172,TP53BP1,FASN
173,EIF4A3,FASN
174,MAGOH,FASN
175,PTPN11,FASN
176,FASN,PTPN11
177,UBC,PPL
178,SMURF1,FASN
179,Hoxa1,ADAMTSL4
180,HSP90AB1,FASN
181,HSP90AA1,FASN
182,MYC,PDZD2
183,FN1,HSPG2
184,FN1,FASN
185,VCAM1,FASN
186,HSP90AA1,FASN
187,NOS2,FASN
188,SMAD9,LRP5
189,SKIL,PPL
190,STK16,ADAMTSL4
191,SALL2,ADAMTSL4
192,TUBGCP4,ADAMTSL4
