,INTERACTOR_A,INTERACTOR_B
0,GABRG2,GABARAP
1,RGS19,GNAO1
2,PRRC2A,QARS
3,KDM5B,FOXG1
4,TP53,WWOX
5,XRCC1,PNKP
6,TBR1,CASK
7,ID1,CASK
8,GPHN,ARHGEF9
9,PLCB1,TRPM7
10,KCNG2,KCNB1
11,LRRC7,CNKSR2
12,PNKP,KRTAP4-12
13,GABRD,UBQLN1
14,PNKP,MYOZ1
15,MDFI,SLC35A2
16,QARS,TRAF2
17,TRIM37,PNKP
18,MAGEA11,PNKP
19,ASL,QARS
20,PLSCR1,SLC35A2
21,ID1,CASK
22,ZBTB16,HDAC4
23,HDAC4,ZBTB16
24,PNKP,LIG4
25,PNKP,LIG3
26,EEF1A2,VARS
27,ARF6,DYNC1H1
28,EEF1A2,EEF1D
29,PNKP,XRCC1
30,PNKP,MCM3
31,EEF1A2,EEF1B2
32,TSC22D1,DYNC1H1
33,XRCC1,PNKP
34,CNBP,PURA
35,YWHAQ,PNKP
36,SNRPB,DYNC1H1
37,PNKP,NOM1
38,PNKP,XRCC4
39,PNKP,NOL3
40,C20orf24,DYNC1H1
41,PNKP,LAS1L
42,PNKP,NUP93
43,PNKP,SLC25A12
44,CNKSR2,MOB3B
45,CASP4,SLC25A22
46,PNKP,DNAAF5
47,TSC22D1,SLC25A22
48,TOR1A,DYNC1H1
49,PNKP,ATAD3B
50,PNKP,DDX20
51,VHL,CSTB
52,PSMD13,SLC25A22
53,NME2,DYNC1H1
54,SFN,HDAC4
55,SFN,HNRNPU
56,HDAC4,CTBP1
57,FANCA,SPTAN1
58,FANCC,SPTAN1
59,FANCG,SPTAN1
60,FANCA,SPTAN1
61,FANCA,SPTAN1
62,ERCC4,SPTAN1
63,HDAC4,Ctbp1
64,SPTAN1,FANCA
65,SPTAN1,FANCC
66,DNM1,FNBP1
67,DNM1,PACSIN1
68,FNBP1,DNM1
69,ND2,GRIN1
70,CASK,TSPYL2
71,CASK,TSPYL2
72,TBR1,CASK
73,KCNJ12,CASK
74,KCNJ12,CASK
75,KCNJ4,CASK
76,ULK1,SYNGAP1
77,ULK1,SYNGAP1
78,ULK2,SYNGAP1
79,ULK1,SYNGAP1
80,KCNJ12,CASK
81,KCNJ4,CASK
82,DLG1,CASK
83,DLG1,CASK
84,LIN7A,CASK
85,LIN7B,CASK
86,LIN7C,CASK
87,SCN1B,CNTN1
88,GATA1,HDAC4
89,HDAC4,GATA1
90,GATA1,HDAC4
91,FCHSD2,CASK
92,DCTN1,DYNC1H1
93,CNKSR2,RAF1
94,RAF1,CNKSR2
95,CNKSR2,RALA
96,CNKSR2,RLF
97,CNTNAP1,KCNA1
98,CNTNAP1,KCNA2
99,RTN4,KCNA1
100,RTN4,KCNA2
101,NRXN1,NLGN1
102,DNMBP,DNM1
103,DNMBP,DNM1
104,CTSB,CSTB
105,CNTN2,CNTNAP2
106,CNTNAP2,CNTN2
107,STXBP1,CDK5
108,STXBP1,MAPT
109,STXBP1,TUBB2A
110,STXBP1,TUBA4A
111,STXBP1,STX1A
112,RARA,HDAC4
113,RXRA,HDAC4
114,NR2C1,HDAC4
115,NR2C2,HDAC4
116,AR,HDAC4
117,PPARD,HDAC4
118,PPARG,HDAC4
119,IKZF2,HDAC4
120,ZNF354A,HDAC4
121,GRIN2A,DLG1
122,DLG1,GRIN2A
123,SRC,GRIN2A
124,FYN,GRIN2A
125,HCN1,HCN2
126,HCN1,HCN3
127,HCN1,HCN4
128,EPM2A,NFU1
129,EPM2A,NFU1
130,EPM2A,NFU1
131,RELN,LRP8
132,RELN,VLDLR
133,KCNQ3,KCNQ2
134,KCNQ3,KCNQ5
135,KCNQ5,KCNQ3
136,NGB,GNAO1
