,INTERACTOR_A,INTERACTOR_B
0,FLNA,DRD3
1,NUMA1,EPB41
2,FLNA,ITGB1
3,FGF7,HSPG2
4,EPB41L1,NUMA1
5,ANK1,OBSCN
6,ATM,ABL1
7,VHL,FLNA
8,VHL,FLNA
9,FLNA,CMIP
10,AR,FLNA
11,FLNA,TRIO
12,FLNA,CASR
13,PDE4DIP,PDE4D
14,PDZD2,CTNND2
15,STK19,POLE
16,PLK3,TRIP13
17,LUM,ACAN
18,ILK,HEATR1
19,PTP4A3,FANCI
20,PTP4A3,HEATR1
21,LRRK1,RIMS1
22,ILK,FANCI
23,C20orf24,FANCI
24,PELO,HEATR1
25,PELO,FANCI
26,MAGED1,HEATR1
27,GSTK1,FANCI
28,NEK6,FANCI
29,MAGED1,FANCI
30,TTBK1,HEATR1
31,PHLDA3,RARS2
32,BRF2,FANCI
33,MYC,HEATR1
34,MYC,POLE
35,MYC,FANCI
36,ATM,RBBP8
37,ATM,RBBP8
38,ATM,FANCD2
39,ATM,FANCD2
40,ATM,SMC1A
41,ATM,SMC1A
42,ATM,TP53
43,ATM,BLM
44,ATM,TP53
45,ATM,TP53
46,ATM,Ap3b2
47,ATM,Ap1b1
48,ATM,Ap1b1
49,ATM,TP53
50,BLM,ATM
51,ATM,BLM
52,BRCA1,PEG3
53,BRCA2,FLNA
54,BRCA2,FLNA
55,ATM,AP1B1
56,ATM,ATM
57,ATR,ATM
58,PRKDC,ATM
59,ATM,BRCA1
60,ATM,CHEK1
61,ATM,E4F1
62,ATM,EIF4EBP1
63,ATM,LIG4
64,ATM,MRE11A
65,ATM,NBN
66,ATM,RAD17
67,ATM,RBBP8
68,ATM,TP53
69,ATM,WRN
70,ATM,BRCA1
71,ATM,BRCA1
72,ATM,BRCA1
73,ATM,BRCA2
74,ATM,Chek1
75,ATM,H2afx
76,ATM,TP53BP1
77,ATM,ABL1
78,ABL1,ATM
79,BRCA1,ATM
80,FANCD2,ATM
81,MLH1,ATM
82,MRE11A,ATM
83,MSH2,ATM
84,MSH6,ATM
85,NBN,ATM
86,RAD50,ATM
87,RAD51,ATM
88,ATM,RAD51
89,ATM,RFC1
90,ATM,MCM2
91,CMIP,FLNA
92,ERC2,RIMS1
93,BSN,RIMS1
94,HSPH1,ADD1
95,EZR,AHNAK
96,DST,DCTN1
97,DCTN1,DST
98,MDC1,ATM
99,RAD17,POLE
100,RAD17,POLE
101,YWHAH,RIMS1
102,YWHAH,RIMS1
103,RIMS1,YWHAH
104,CAMK2A,RIMS1
105,ATM,TP53BP1
106,FBLIM1,FLNA
107,FBLIM1,FLNA
108,OBSCN,ANK1
109,NUMA1,YEATS4
110,NUMA1,YEATS4
111,YEATS4,NUMA1
112,P2rx7,LAMA3
113,P2rx7,LAMA3
114,GRB2,PLEC
115,UBE2L3,CUL9
116,LAMA3,SDC2
117,LAMA3,SDC2
118,ADD1,CALM1
119,NPHP1,FLNA
120,NPHP1,FLNA
121,GPSM2,NUMA1
122,NUMA1,GPSM2
123,NUMA1,GPSM2
124,GPSM2,NUMA1
125,GPSM2,NUMA1
126,FLNA,FLNB
127,FLNA,FLNB
128,TTR,HSPG2
129,HSPG2,TTR
130,TNFAIP6,ACAN
131,FLNA,ITGB3
132,FLNA,ITGB6
133,ITGB1,FLNA
134,DST,ERBB2IP
135,ERBB2IP,DST
136,PRELP,HSPG2
137,UNC13B,RIMS1
138,UNC13B,RIMS1
139,RIMS1,UNC13B
140,RIMS1,RAB3A
141,NUMA1,TNKS
142,DCN,FLNA
143,ACTR1A,NUMA1
144,CIB1,PLK3
145,PIGP,PIGQ
146,PDZD2,CTNND2
147,PKP4,PDZD2
148,PDZD2,PKP4
149,DRD2,FLNA
150,TYRO3,SRC
151,Grm7,FLNA
152,TERF1,ATM
153,ATM,TERF1
154,ATM,ABL1
155,ABL1,ATM
156,ATM,TERF1
157,TNR,ACAN
158,ACAN,FBLN2
159,FLNA,F3
160,PLK3,TP53
161,TP53,PLK3
162,PTPRC,PLK3
163,MEP1A,LAMA1
164,ATM,PEX5
165,FLNA,ITGB7
166,ITGB1,FLNA
167,ITGB1,FLNA
168,ITGB1,FLNA
169,RHEB,ATM
170,RHEB,ATM
171,ACTA1,NRAP
172,NRAP,VCL
173,PLK3,CHEK2
174,CHEK2,PLK3
175,PLK3,TP53
176,PLK3,TP53
177,ATM,TP53
178,TRAF2,FLNA
179,BRCA2,FLNA
180,COL17A1,DST
181,COL17A1,DST
182,FLNA,RALA
183,FLNA,RALA
184,SLC12A3,PDIA3
185,SMC1A,NUMA1
186,SMC3,NUMA1
187,FGFBP1,HSPG2
188,FGFBP1,HSPG2
189,PDZD2,PKP4
190,PDZD2,ERBB2IP
191,FLNA,CASR
192,TYRO3,PIK3R1
193,TYRO3,PIK3R1
194,GP1BA,FLNA
195,BCAT2,BCAT2
196,PEG3,SIAH2
197,PEG3,SIAH1
198,PEG3,SIAH1
199,PEG3,SIAH2
200,PIDD1,MADD
201,TRIO,FLNA
202,HSPG2,NID2
203,HSPG2,FN1
204,HSPG2,FBLN2
205,TYRO3,GAS6
206,ELN,FBN2
207,NUMA1,EPB41
208,EPB41,NUMA1
209,MATN2,FBN2
210,NUMA1,EPB41L2
211,LAMA1,FBLN2
212,TTN,OBSCN
213,TTN,OBSCN
214,NCOA6,NUMA1
215,PIGQ,PIGH
216,PIGQ,PIGC
217,PIGQ,PIGA
218,PIGQ,PIGA
219,PIGQ,PIGC
220,PIGQ,PIGH
221,EPB41L1,NUMA1
222,NUMA1,EPB41L1
223,PIM1,NUMA1
224,PIM1,NUMA1
225,TOPBP1,POLE
226,PDE4DIP,PDE4D
227,GAS6,TYRO3
228,S100B,AHNAK
229,S100B,AHNAK
230,S100B,AHNAK
231,ERC2,RIMS1
232,RIMS1,UNC13B
233,RIMS1,ERC2
234,ERC2,RIMS1
235,ERC2,RIMS1
236,RIMS1,ERC2
237,PCNA,POLE
238,ADD1,SPTB
239,PRKDC,ATM
240,ATM,PRKDC
241,ATM,RAD17
242,LYST,YWHAQ
243,LYST,CSNK2B
244,LYST,TNNI3
245,LYST,HGS
246,LYST,YWHAB
247,LYST,ESRRA
248,LYST,KPNB1
249,LYST,MRPS31
250,LYST,DGCR14
251,LYST,NCDN
252,LYST,PCBP4
253,LYST,VTA1
254,LYST,DNAJC14
255,LYST,CNTROB
256,LYST,ATN1
257,LYST,EFS
258,LYST,MED12
259,LYST,HNRNPM
260,LYST,CENPJ
261,LYST,MRPL17
262,LYST,ZNF521
263,LYST,CELF4
264,LYST,YWHAZ
265,LYST,CSNK2B
266,LYST,HGS
267,CACNA1S,SRI
268,ABL1,ATM
269,ABL1,ATM
270,TP53,CUL9
271,TP53,CUL9
272,CUL9,TP53
273,TP53,CUL9
274,TP53,CUL9
275,CUL9,CUL9
276,TNFRSF1A,MADD
277,LAMA1,ITGA2
278,LAMA1,ITGA1
279,LAMA1,HSPG2
280,LAMA1,ITGB1
281,LAMA1,FBLN2
282,CASR,FLNA
283,FLNA,CASR
284,CASR,FLNA
285,SH2B3,FLNA
286,FLNA,SH2B3
287,PLK3,CDC25C
288,PLK3,CDC25C
289,PLK3,CDC25C
290,PLEC,VIM
291,PLEC,MAP2
292,PLEC,SPTA1
293,PLEC,SPTAN1
294,VIM,PLEC
295,SPTAN1,PLEC
296,HSPG2,FBLN2
297,HSPG2,PDGFA
298,HSPG2,PDGFB
299,FGF7,HSPG2
300,FGF7,HSPG2
301,LAMA1,PLAT
302,LAMA1,PLG
303,RRM2B,ATM
304,ATM,RRM2B
305,COL17A1,DST
306,DST,ITGB4
307,FLNA,FILIP1
308,FLNA,FILIP1
309,NHLRC1,AGL
310,CXXC1,KMT2D
311,KMT2D,CXXC1
312,KDM6A,KMT2D
313,ATM,XPC
314,SMARCB1,ATM
315,ATM,SMARCB1
316,USP36,PARP1
317,USP36,CHD4
318,OTUD1,FLNA
319,OTUD5,FLNA
320,USP45,FLNA
321,G3BP1,FLNA
322,DMWD,FLNA
323,USP20,PLEC
324,PAN2,PLEC
325,KCTD13,PLEC
326,USP36,PPM1G
327,USP36,PWP2
328,USP36,IFRD2
329,USP36,STK25
330,USP36,TBL3
331,USP36,WDR3
332,USP36,GNL2
333,USP36,UTP18
334,USP36,DDX41
335,USP36,TMEM104
336,USP36,FANCI
337,USP36,PPP6R3
338,USP36,DHX33
339,USP36,NUP85
340,USP36,MPND
341,USP36,NUDCD1
342,USP36,WDR36
343,USP36,SHPRH
344,USP36,ANKRD52
345,USP36,LIN28B
346,SLX1B,MYH11
347,RPAP1,NUMA1
348,ATM,HUWE1
349,ATM,USP34
350,ATM,MED1
351,ATM,FANCI
352,ATM,SMC3
353,ATM,TAOK3
354,ATM,TDP1
355,BRCA1,ATM
356,TP53,CUL9
357,NPM1,NUMA1
358,RAD51,MCPH1
359,BRCA2,MCPH1
360,CDC6,ATM
361,TTI1,ATM
362,TELO2,ATM
363,EGFR,AHNAK
364,IKBKG,TYRO3
365,CTNNB1,KMT2D
366,CAMKK2,FLNA
367,CAMKK2,FANCI
368,CLN3,FANCI
369,PRKAA2,AGL
370,PRKAB2,AGL
371,PRKAB2,FANCI
372,RASSF5,AGL
373,PAK2,DST
374,MAPK6,DST
375,NFYC,DST
376,APC,DST
377,MAPK14,FLNA
378,SRC,FLNA
379,APC,FLNA
380,APC,LAMA3
381,GRB2,MYH11
382,DAXX,MYH11
383,APC,MYH11
384,PLEKHA5,PLEC
385,YWHAZ,MADD
386,TRIM63,NRAP
387,AR,MDN1
388,ATR,ATM
389,BANF1,NUMA1
390,BANF1,FLNA
391,CHD1L,XRCC6
392,CHD1L,PARP1
393,CHD1L,HIST2H2AA4
394,CHD1L,HIST3H2A
395,CHD1L,XRCC5
396,CHD1L,H2AFX
397,CHD1L,RPA3
398,CHD1L,SUPT16H
399,CHD1L,H3F3AP6
400,CHD1L,H2AFZ
401,CHD1L,RPA2
402,CHD1L,PRKDC
403,CHD1L,PARP2
404,CHD1L,HIST1H2BK
405,CHD1L,HIST1H2BB
406,CHD1L,PRKDC
407,CHD1L,PARP1
408,CHD1L,XRCC5
409,CHD1L,XRCC6
410,CHD1L,RPA1
411,CHD1L,API5
412,CHD1L,EIF4A1
413,CHD1L,RFC2
414,CHD1L,RPA2
415,CHD1L,CBX1
416,CHD1L,CBX3
417,CHD1L,CBX5
418,CHD1L,PRKDC
419,CHD1L,XRCC6
420,CHD1L,XRCC1
421,CHD1L,APLF
422,ATM,TP53BP1
423,ADD1,SMARCA4
424,ADD1,SMARCC1
425,ADD1,SMARCA2
426,ADD1,SIN3A
427,ADD1,HDAC1
428,ADD1,SMARCC1
429,ATM,CXXC5
430,BRCA2,MCPH1
431,RAD51,MCPH1
432,MCPH1,BRCA2
433,MCPH1,RAD51
434,BRCA2,MCPH1
435,RAD51,MCPH1
436,MCPH1,SMARCA4
437,MCPH1,SMARCC2
438,MCPH1,SMARCC1
439,MCPH1,SMARCB1
440,MCPH1,SMARCA4
441,MCPH1,SMARCC2
442,MCPH1,SMARCC1
443,MCPH1,SMARCB1
444,MCPH1,SMARCA2
445,MCPH1,MCM2
446,MCPH1,SMARCC2
447,MCPH1,SMARCB1
448,DCLRE1A,ATM
449,E2F5,KMT2D
450,E2F6,KMT2D
451,E2F3,KMT2D
452,E2F2,KMT2D
453,MCPH1,MDC1
454,MCPH1,ATM
455,MCPH1,TP53BP1
456,MCPH1,NBN
457,MCPH1,ATR
458,MCPH1,RPA1
459,DDX1,ATM
460,ATM,DDX1
461,CHEK1,MCPH1
462,MCPH1,E2F1
463,E2F1,MCPH1
464,TELO2,ATM
465,CTNNB1,KMT2D
466,ATM,VHL
467,POLR2A,KMT2D
468,SRRM1,KMT2D
469,SRRM2,PLEC
470,HNRNPUL1,ATM
471,WDR5,KMT2D
472,RBBP5,KMT2D
473,ATM,KAT8
474,KAT8,ATM
475,ATM,KAT8
476,KAT8,ATM
477,ATM,KAT8
478,KAT8,ATM
479,ATM,ATF2
480,tat,NUMA1
481,FOXO3,ATM
482,ATM,H2AFX
483,ATM,BRCA1
484,ATM,RAD17
485,ATM,FOXO3
486,H2AFX,ATM
487,FOXO3,ATM
488,ATM,HDAC1
489,HDAC1,ATM
490,RAD18,FANCI
491,ATM,CHEK2
492,ATM,TP53
493,ATM,TP53
494,ATM,CHEK2
495,MEF2D,KMT2D
496,FAN1,FANCI
497,FAN1,FANCI
498,FAN1,FANCI
499,ATM,PARP1
500,PAXIP1,KMT2D
501,KMT2D,PAXIP1
502,KMT2D,ASH2L
503,KMT2D,RBBP5
504,KMT2D,WDR5
505,ATM,ABL1
506,ATM,TP53
507,NBN,ATM
508,ATM,Mcm3
509,ATM,BMI1
510,CHD4,ATM
511,ATM,CHD4
512,CHD4,ATM
513,ATM,CHD4
514,POLN,FANCI
515,FANCI,FANCD2
516,FANCI,FANCD2
517,FANCI,FANCD2
518,SREBF1,ATM
519,WDR82,KMT2D
520,ATM,MDC1
521,TERF1,DST
522,TERF2,DST
523,TERF2,MYOM2
524,TERF2,EEFSEC
525,EXO1,ATM
526,ATM,EXO1
527,PYGO2,KMT2D
528,PYGO2,KMT2D
529,SLC12A3,NEDD4
530,ATM,FANCD2
531,ATM,E2F1
532,ATM,TP53
533,ETS1,PLEC
534,ATM,ABL1
535,UBC,LAMA1
536,ATM,TP53
537,MYC,POLE
538,RYK,PTK7
539,PCNA,POLE
540,AGO3,FLNA
541,ATM,SMC1A
542,TJP1,FLNA
543,TJP1,PLEC
544,YWHAQ,CACNA1S
545,YWHAQ,MYH11
546,MME,ATP12A
547,NPM1,USP36
548,USP36,NPM1
549,USP36,NPM1
550,CACNA1A,HSPG2
551,HDAC5,NUMA1
552,HDAC5,FLNA
553,ATM,TP53
554,ATM,DYRK2
555,ATM,TRAF6
556,AI837181,AHNAK
557,Tpr,AHNAK
558,ATM,ATM
559,Ccdc15,AHNAK
560,Atm,ATM
561,Cdk1,AHNAK
562,Ranbp2,NUMA1
563,Csnk1e,AHNAK
564,SIRT1,LAMA3
565,PTEN,FBN2
566,ESR1,KMT2D
567,ESR1,KMT2D
568,ASH2L,KMT2D
