,GENE,INTERACTORS
0,SCN5A,"SCN5A,SNTB2,CRYAB,SCN5A,GAN,SCN5A,SCN5A,WWP2,CAV3,SCN5A,CALM1,SCN5A,GIG20,SCN5A,PIG53,SCN5A,Nedd4,SCN5A,SCN5A,SNTA1,CDK2,SCN5A,SCN5A,SNTB1"
1,MASP1,"CUL3,MASP1,CTA-215D11.2,MASP1,MASP1,NUDT21,GSK3B,MASP1,MAPK6,MASP1,MASP1,UFD1L,MASP1,RPS6KA6,MASP1,PDCD6IP,MASP1,NCK2,CDC37,MASP1,MAPK8IP2,MASP1,MASP1,RP11-263F14.2,ERBB3,MASP1,MASP1,RP11-393H10.3,H2AFX,MASP1,MASP1,RP11-346C16.5,MASP1,MASP2,MASP1,RP11-94H3.1,AP2M1,MASP1,MASP1,SERPING1,MASP1,RP5-975D15.1"
2,ADGRA3,
3,FAT4,"Nbla00548,ZBBX,Nbla00548,XCL1,DDX39A,Nbla00548,ATXN1,Nbla00548,Nbla00548,PSG8,Nbla00548,RYK,Nbla00548,UNQ360/PRO655,C2orf48,Nbla00548,Nbla00548,UNQ3098/PRO10075,NXF1,Nbla00548,Nbla00548,PCDHGB1,Nbla00548,RP11-485B17.2,Nbla00548,RP11-9E13.1,AAG4,Nbla00548,Nbla00548,SHMT2,Nbla00548,PRSS37,ENO1,Nbla00548,Nbla00548,RP6-206I17.5,DCDC2B,Nbla00548,Nbla00548,SIRT6,LL22NC03-10C3.2,Nbla00548,Nbla00548,UNQ735/PRO1429,Nbla00548,RPL28,NXPH2,Nbla00548"
4,DNAH5,
5,PDZD2,"HSPC225,PDZD2,ERBB2IP,PDZD2,CTNND2,PDZD2,PDZD2,PKP4,PDZD2,PP642,BAI1,PDZD2,NRXN1,PDZD2,NUP35,PDZD2,PDZD2,RAD21,MYC,PDZD2,DDX24,PDZD2"
6,SYNE1,"NTRK1,RP1-130E4.2,NUP107,RP1-130E4.2,RP1-130E4.2,RP11-104M22.1,MCM2,RP1-130E4.2,APC,RP1-130E4.2,RP1-130E4.2,RP1-147M19.1,HHV1gp089,RP1-130E4.2,IFT57,RP1-130E4.2,RP1-130E4.2,RP11-297K8.3,RP1-130E4.2,TRIM29,CEP63,RP1-130E4.2,RP1-130E4.2,TNIK,IFI16,RP1-130E4.2,GAN,RP1-130E4.2,RP1-130E4.2,RP11-386D8.2,RP1-130E4.2,XX-FW88778H2.1,PP2593,RP1-130E4.2,RP1-130E4.2,RP3-508I15.15-002,RP1-130E4.2,RP1-319D22.1,RP1-130E4.2,RP1-224A6.5,RP1-130E4.2,RP11-54H19.1,RP1-130E4.2,RP11-573G6.1,NUP35,RP1-130E4.2,RP1-130E4.2,SUZ12,Nde1,RP1-130E4.2,RP1-130E4.2,SH3BP5,RP1-130E4.2,RP1-130E4.2,OBSL1,RP1-130E4.2,RP1-130E4.2,SUN1,NDEL1,RP1-130E4.2,GS1-120K12.1,RP1-130E4.2,RP1-130E4.2,RP4-730B13.1,RP1-130E4.2,TERF2,EZH2,RP1-130E4.2,NLN,RP1-130E4.2"
7,ABCA13,"ABCA13,HAGH,ABCA13,APOA2,ABCA13,APOA1,ABCA13,CLK1,ABCA13,CUL3"
8,SETX,"MAPK8IP1,RP11-203M2.2,BRCA1,RP11-203M2.2,POLR2G,RP11-203M2.2,CD2AP,RP11-203M2.2,NME2P1,RP11-203M2.2,EGFR,RP11-203M2.2,RP1-319D22.1,RP11-203M2.2,AAG4,RP11-203M2.2,RP11-203M2.2,RP11-216L13.5,RP11-203M2.2,SUPT5H,ARHGAP1,RP11-203M2.2,GIG20,RP11-203M2.2,LA16c-358B7.1,RP11-203M2.2,CARD8,RP11-203M2.2,RP11-203M2.2,UNQ478/PRO941,POLR2F,RP11-203M2.2,RP11-203M2.2,SMN1,POLR2A,RP11-203M2.2,RP11-203M2.2,tcag7.561,RP11-203M2.2,SKAP1,MLST8,RP11-203M2.2,MEF2A,RP11-203M2.2,APBB1,RP11-203M2.2,RP11-203M2.2,SIGLECL1,RP11-203M2.2,SUMO2,Nhsl1,RP11-203M2.2,PAK1,RP11-203M2.2,RP11-203M2.2,RP23-43J1.4,PTEN,RP11-203M2.2,FZD10,RP11-203M2.2,RP11-203M2.2,VWA5A,PP1221,RP11-203M2.2,OK/SW-cl.43,RP11-203M2.2,RP11-203M2.2,VPS28,Kif7,RP11-203M2.2,RP11-203M2.2,UNQ766/PRO1558,RP11-203M2.2,SETMAR,APOA1,RP11-203M2.2,RP11-203M2.2,RP23-396G1.1,FKSG19,RP11-203M2.2,RP11-203M2.2,UNQ189/PRO215,NEUROG3,RP11-203M2.2,HSPC057,RP11-203M2.2"
9,CUBN,"GIF,RP11-416D8.1,LRP1,RP11-416D8.1,RP11-416D8.1,Rrp1b,GC,RP11-416D8.1,HMFN2073,RP23-97D20.1,HMFN2073,RP11-416D8.1,BRCA1,RP11-416D8.1,RP11-416D8.1,RP11-416D8.1,RP11-416D8.1,RRP1B,RP11-416D8.1,SCGB1A1,CBL,RP11-416D8.1,RP23-97D20.1,RP3-339A18.2"
10,PDCD11,"PDCD11,SIRT7,CEP164,PDCD11,FGF8,PDCD11,FGF3,PDCD11,LGR4,PDCD11,IFI16,PDCD11,NPM1,PDCD11,PDCD11,SCARNA22,HDAC11,PDCD11,PDCD11,hucep-1,PDCD11,RP11-367H5.3,EED,PDCD11,PDCD11,RPL18A,CBX8,PDCD11,HIV1gp6,PDCD11,HNRNPA1,PDCD11,CAND1,PDCD11,PDCD11,ZNF512,OBSL1,PDCD11,PDCD11,PRO2640,CCDC8,PDCD11,FBL,PDCD11,PDCD11,RP23-353J21.1,GS1-120K12.1,PDCD11,PDCD11,RP11-573G6.1,PDCD11,RP11-324J2.1,PDCD11,RP11-658F2.8,MECP2,PDCD11,CUL3,PDCD11,PDCD11,RPL18,PDCD11,SUZ12,NTRK1,PDCD11,CUL7,PDCD11,PDCD11,SUPT6H,DADB-70P7.10-021,PDCD11,CAGF28,PDCD11,PDCD11,RPGRIP1L,PDCD11,SRPK3,PDCD11,S100A8,PDCD11,RP11-458I7.3,PDCD11,ZSCAN31,PDCD11,TMEM67,PDCD11,RP11-11N7.3"
