,INTERACTOR_A,INTERACTOR_B
0,BRCA1,MSH6
1,FGF7,HSPG2
2,ANK1,RHAG
3,ANK1,OBSCN
4,STK19,POLE
5,PHKB,C20orf27
6,HNRNPC,PHKB
7,MMP14,LUM
8,CASP4,MSH6
9,MYC,MSH6
10,MYC,POLE
11,BRCA1,MSH6
12,MSH6,BLM
13,BCAR1,TNS1
14,MSH6,ATM
15,MSH6,MLH1
16,BARD1,MSH6
17,BRCA1,MSH6
18,MRE11A,MSH6
19,MSH2,MSH6
20,NBN,MSH6
21,RAD50,MSH6
22,MSH6,RFC1
23,MED10,MED13
24,MED9,MED13
25,MED29,MED13
26,MED19,MED13
27,MED28,MED13
28,MED26,MED13
29,MSH2,MSH6
30,MSH6,SMC1A
31,LRP1,MMP14
32,EZR,AHNAK
33,RAD17,POLE
34,RAD17,POLE
35,CHD1,BCLAF1
36,CLK1,BCLAF1
37,GAP43,PLCD1
38,ROR2,MAGED1
39,RHAG,ANK1
40,OBSCN,ANK1
41,GRB2,PLEC
42,CDK5RAP2,STARD9
43,CDK5RAP2,MAGEH1
44,CDK5RAP2,PTN
45,CDK5RAP2,SENP2
46,CDK5RAP2,ZPR1
47,CDK5RAP2,C14orf1
48,CDK5RAP2,HAP1
49,CDK5RAP2,KAT5
50,CDK5RAP2,LUC7L2
51,CDK5RAP2,CRMP1
52,CDK5RAP2,RBM48
53,CDK5RAP2,EEF1G
54,TTR,HSPG2
55,HSPG2,TTR
56,PRELP,HSPG2
57,SPTB,ANK1
58,FN1,TNC
59,FN1,TNC
60,TNC,NCAN
61,MSH2,MSH6
62,ANK1,TTN
63,ANK1,TTN
64,FGFBP1,HSPG2
65,FGFBP1,HSPG2
66,TIMP2,MMP14
67,TIMP2,MMP14
68,CDK8,MED13
69,VDR,MED13
70,HSPG2,NID2
71,HSPG2,FN1
72,HSPG2,FBLN2
73,CDK5R1,CDK5RAP2
74,CDK5RAP2,CDK5R1
75,CDK5RAP2,CDK5
76,CDK5R1,CDK5RAP2
77,TOPBP1,POLE
78,NPHP1,TNS1
79,MSH6,PCNA
80,MSH6,PCNA
81,MSH6,PCNA
82,SLC4A1,ANK1
83,SLC4A3,ANK1
